模块,功能点,子任务/技术要点,优先级,验收标准/备注
任务大厅,平台Tab切换,"3. 选中状态样式,P0,"
任务大厅,平台Tab切换,"4. URL参数同步（?platform=xxx）,P0,"
任务大厅,平台Tab切换,"5. 后端接口：GET /api/orders?platform=xxx,P0,"
任务大厅,筛选功能,"1. 服务选项下拉（不限/爆款复刻/原创内容）,P0,多个筛选条件可叠加使用；筛选条件变更后刷新列表；重置按钮清空所有筛选条件"
任务大厅,筛选功能,"2. 佣金范围下拉（¥100以下/¥100-300/¥300-600/¥600以上）,P0,"
任务大厅,筛选功能,"3. 交付时间下拉（普通72h/加急48h/特急24h）,P0,"
任务大厅,筛选功能,"4. 多条件组合筛选,P0,"
任务大厅,筛选功能,"5. 筛选条件重置功能,P0,"
任务大厅,筛选功能,"6. 后端接口联调,P0,"
任务大厅,排序功能,"1. 排序下拉（成交最多/佣金从低到高/佣金从高到低/最新上架）,P0,切换排序后列表按新规则展示；排序参数正确传递到后端"
任务大厅,排序功能,"2. 排序参数传递,P0,"
任务大厅,排序功能,"3. 默认排序：成交最多,P0,"
任务大厅,排序功能,"4. 后端接口：GET /api/orders?sort=xxx,P0,"
任务大厅,搜索功能,"1. 搜索框输入,P0,输入关键词后搜索结果正确；从首页跳转时搜索框自动填充关键词"
任务大厅,搜索功能,"2. 回车或点击搜索按钮触发,P0,"
任务大厅,搜索功能,"3. 从首页跳转时自动填充搜索词,P0,"
任务大厅,搜索功能,"4. 后端接口：GET /api/orders?q=xxx,P0,"
任务大厅,任务卡片展示,"1. 卡片组件设计,P0,卡片信息正确展示；点击卡片或按钮跳转到订单详情页"
任务大厅,任务卡片展示,"2. 服务标题（最多2行，超出省略）,P0,"
任务大厅,任务卡片展示,"3. 平台标签Badge（彩色）,P0,"
任务大厅,任务卡片展示,"4. 广告主头像Avatar,P0,"
任务大厅,任务卡片展示,"5. 评分星星展示,P0,"
任务大厅,任务卡片展示,"6. 佣金价格高亮,P0,"
任务大厅,任务卡片展示,"7. 时效标签（加急红点）,P0,"
任务大厅,任务卡片展示,"8. ""立即查看""按钮,P0,"
任务大厅,任务卡片展示,"9. 后端接口数据联调,P0,"
任务大厅,分页功能,"1. 分页组件实现,P0,点击分页按钮切换页面；页码正确更新；超过最后一页时禁用""下一页""按钮"
任务大厅,分页功能,"2. 上一页/下一页按钮,P0,"
任务大厅,分页功能,"3. 页码展示,P0,"
任务大厅,分页功能,"4. 每页数量配置,P0,"
任务大厅,分页功能,"5. 后端接口：GET /api/orders?page=1&limit=20,P0,"
任务大厅,结果数量展示,"1. ""共X条结果""文案,P1,筛选后结果数量正确更新；无结果时显示空状态图"
任务大厅,结果数量展示,"2. 动态更新数量,P1,"
任务大厅,结果数量展示,"3. 空状态展示（无结果时）,P1,"
任务大厅,空状态处理,"1. 空状态插图,P1,无任务时显示空状态图；广告主点击按钮跳转到发布订单页"
任务大厅,空状态处理,"2. ""暂无任务""提示文案,P1,"
任务大厅,空状态处理,"3. ""去发布任务""按钮（广告主）,P1,"
任务大厅,空状态处理,"4. 筛选无结果时的提示,P1,"
任务大厅,任务大厅埋点,"1. 筛选条件使用埋点,P1,记录用户筛选、排序、搜索行为；任务卡片点击记录订单ID"
任务大厅,任务大厅埋点,"2. 排序方式使用埋点,P1,"
任务大厅,任务大厅埋点,"3. 搜索关键词埋点,P1,"
任务大厅,任务大厅埋点,"4. 任务卡片点击埋点,P1,"
任务大厅,任务大厅埋点,"5. 分页行为埋点,P1,"
任务大厅,网络异常处理,"1. 接口请求失败重试机制,P1,接口失败时显示""加载失败，请重试""；loading状态显示骨架屏"
任务大厅,网络异常处理,"2. 错误提示toast,P1,"
任务大厅,网络异常处理,"3. 骨架屏loading,P1,"
任务大厅,网络异常处理,"4. 空数据兜底,P1,"
订单详情,页面布局,"1. 面包屑导航（首页/任务大厅/订单标题）,P0,面包屑正确导航；右侧信息区桌面端固定；移动端自适应"
订单详情,页面布局,"2. 订单标题区,P0,"
订单详情,页面布局,"3. 广告主信息区,P0,"
订单详情,页面布局,"4. 主视觉区（封面图/视频预览）,P0,"
订单详情,页面布局,"5. 订单信息区（右侧固定）,P0,"
订单详情,页面布局,"6. 服务详情描述,P0,"
订单详情,页面布局,"7. 响应式布局,P0,"
订单详情,面包屑导航,"1. 面包屑组件,P0,点击""首页""跳转到/；点击""任务大厅""跳转到/orders"
订单详情,面包屑导航,"2. 首页/任务大厅可点击,P0,"
订单详情,面包屑导航,"3. 订单标题不可点击,P0,"
订单详情,面包屑导航,"4. 点击跳转对应页面,P0,"
订单详情,核心字段展示,"1. 订单标题,P0,所有字段正确展示；价格计算正确（第一次30%、第二次70%）"
订单详情,核心字段展示,"2. 评分（4.9）+ 评价数量,P0,"
订单详情,核心字段展示,"3. 已收到投稿数 + 已验收数,P0,"
订单详情,核心字段展示,"4. 广告主头像 + 名称,P0,"
订单详情,核心字段展示,"5. 验收通过率,P0,"
订单详情,核心字段展示,"6. 平均验收时间,P0,"
订单详情,核心字段展示,"7. 佣金价格 + 第一次/第二次验收预估,P0,"
订单详情,核心字段展示,"8. 素材条数、接受AI、平台、任务时间等参数,P0,"
订单详情,核心字段展示,"9. 后端接口：GET /api/orders/:id,P0,"
订单详情,订单信息区,"1. 任务名称展示,P0,订单信息完整展示；价格计算正确"
订单详情,订单信息区,"2. 佣金价格展示,P0,"
订单详情,订单信息区,"3. 第一次验收预估佣金,P0,"
订单详情,订单信息区,"4. 第二次验收预估佣金,P0,"
订单详情,订单信息区,"5. 简要描述,P0,"
订单详情,订单信息区,"6. 素材条数,P0,"
订单详情,订单信息区,"7. 出片时间（72/48/24小时）,P0,"
订单详情,订单信息区,"8. AI创作（接受/不接受）,P0,"
订单详情,订单信息区,"9. 场景要求、视频风格、配音要求,P0,"
订单详情,订单信息区,"10. 后端接口数据联调,P0,"
订单详情,""立即抢单""按钮,"1. 按钮组件（固定底部/右侧）,P0,未登录跳转登录页；已登录弹出确认弹窗；确认接单后跳转工作台"
订单详情,""立即抢单""按钮,"2. 未登录点击跳转/login,P0,"
订单详情,""立即抢单""按钮,"3. 已登录点击弹出确认弹窗,P0,"
订单详情,""立即抢单""按钮,"4. 确认后创建投标记录,P0,"
订单详情,""立即抢单""按钮,"5. 跳转到创作者工作台,P0,"
订单详情,""立即抢单""按钮,"6. 后端接口：POST /api/bids,P0,"
订单详情,接单前置条件校验,"1. 个人信息完善检查（isProfileComplete）,P0,个人信息未完善提示完善信息；接单数量超限提示""最多同时接单3个任务""；曾被拒绝提示""无法再次接单""；订单过期提示""该订单已过期"""
订单详情,接单前置条件校验,"2. 接单数量限制检查（<3个）,P0,"
订单详情,接单前置条件校验,"3. 订单状态检查（approved）,P0,"
订单详情,接单前置条件校验,"4. 拒绝记录检查（isRejected）,P0,"
订单详情,接单前置条件校验,"5. 超时检查（endTime）,P0,"
订单详情,接单前置条件校验,"6. 后端接口：GET /api/bids/check-eligible,P0,"
订单详情,接单前置条件校验,"7. 各种错误提示文案,P0,"
订单详情,确认接单弹窗,"1. Dialog组件,P0,弹窗正确展示；点击确认提交投标；点击取消关闭弹窗"
订单详情,确认接单弹窗,"2. 确认文案：""确认接单吗？"",P0,"
订单详情,确认接单弹窗,"3. 取消/确认按钮,P0,"
订单详情,确认接单弹窗,"4. 点击确认后提交投标,P0,"
订单详情,确认接单弹窗,"5. 后端接口：POST /api/bids,P0,"
订单详情,空状态处理,"1. 订单不存在时的404页面,P1,订单不存在显示404；订单已下架显示""该订单已下架"""
订单详情,空状态处理,"2. 订单已下架的提示,P1,"
订单详情,空状态处理,"3. 加载失败的错误提示,P1,"
订单详情,广告主信息点击跳转,"1. 广告主头像/名称可点击,P1,点击广告主名称跳转到/creators/:id"
订单详情,广告主信息点击跳转,"2. 跳转到创作者详情页,P1,"
订单详情,广告主信息点击跳转,"3. 参数传递,P1,"
订单详情,订单详情埋点,"1. 页面访问埋点（订单ID）,P1,记录订单ID；记录接单失败原因（个人信息未完善/超限/被拒绝/过期）"
订单详情,订单详情埋点,"2. ""立即抢单""点击埋点,P1,"
订单详情,订单详情埋点,"3. 接单成功/失败埋点,P1,"
订单详情,订单详情埋点,"4. 前置条件校验失败埋点,P1,"
订单详情,订单详情加载失败,"1. 网络异常提示,P1,接口失败时显示""加载失败，请重试""；提供重试按钮"
订单详情,订单详情加载失败,"2. 骨架屏loading,P1,"
订单详情,订单详情加载失败,"3. 重试按钮,P1,"
发布订单,页面布局,"1. 全屏布局（无Navbar和Footer）,P0,全屏展示；桌面端左右布局；移动端上下堆叠"
发布订单,页面布局,"2. 分步骤表单（基本信息/详细描述/任务参数/任务时间）,P0,"
发布订单,页面布局,"3. 左侧表单 + 右侧预览（桌面端）,P0,"
发布订单,页面布局,"4. 进度指示器,P0,"
发布订单,页面布局,"5. 响应式布局,P0,"
发布订单,基本信息表单,"1. 任务标题输入（必填，最少5个字符）,P0,标题少于5字符时提示""任务标题至少5个字符""；佣金价格必须为正整数"
发布订单,基本信息表单,"2. 视频类型选择（爆款复刻/原创内容）,P0,"
发布订单,基本信息表单,"3. 佣金价格输入（必填，正整数）,P0,"
发布订单,基本信息表单,"4. 表单验证规则,P0,"
发布订单,基本信息表单,"5. 错误提示文案,P0,"
发布订单,详细描述表单,"1. 基础要求（选填，最多2000字）,P0,超过2000字时提示""描述不能超过2000字""；字数统计实时更新"
发布订单,详细描述表单,"2. 硬性要求（必填，最多2000字）,P0,"
发布订单,详细描述表单,"3. 非硬性要求（选填，最多2000字）,P0,"
发布订单,详细描述表单,"4. 补充说明（选填，最多2000字）,P0,"
发布订单,详细描述表单,"5. 字数统计实时显示,P0,"
发布订单,详细描述表单,"6. Textarea组件,P0,"
发布订单,任务参数表单,"1. 素材条数输入（必填，正整数）,P0,所有必填项验证通过；下拉选项正确展示"
发布订单,任务参数表单,"2. 接受AI创作（接受/不接受）,P0,"
发布订单,任务参数表单,"3. 场景要求输入（选填）,P0,"
发布订单,任务参数表单,"4. 视频风格输入（选填）,P0,"
发布订单,任务参数表单,"5. 配音要求下拉（普通话/方言等）,P0,"
发布订单,任务参数表单,"6. 投放平台下拉,P0,"
发布订单,任务参数表单,"7. 分辨率选择（9:16/4:3/1:1）,P0,"
发布订单,任务参数表单,"8. 任务时效选择（72/48/24小时）,P0,"
发布订单,参考图上传,"1. 图片/视频上传组件,P0,最多上传4个文件；支持图片和视频；显示上传进度；可删除已上传文件"
发布订单,参考图上传,"2. 最多4个文件,P0,"
发布订单,参考图上传,"3. 文件类型限制（图片/视频）,P0,"
发布订单,参考图上传,"4. 文件大小限制,P0,"
发布订单,参考图上传,"5. 上传进度显示,P0,"
发布订单,参考图上传,"6. 预览缩略图,P0,"
发布订单,参考图上传,"7. 删除功能,P0,"
发布订单,参考图上传,"8. 后端接口：POST /api/upload,P0,"
发布订单,任务时间选择,"1. 开始时间DateTimePicker,P0,结束时间早于开始时间时提示""结束时间必须晚于开始时间""；结束时间与开始时间间隔不足24小时时提示""任务时长至少24小时"""
发布订单,任务时间选择,"2. 结束时间DateTimePicker,P0,"
发布订单,任务时间选择,"3. 结束时间必须晚于开始时间,P0,"
发布订单,任务时间选择,"4. 开始时间必须晚于当前时间,P0,"
发布订单,任务时间选择,"5. 结束时间必须晚于开始时间至少24小时,P0,"
发布订单,任务时间选择,"6. 时间验证规则,P0,"
发布订单,AI预审功能,"1. ""AI预审""按钮,P0,点击按钮后显示loading；AI返回结果后展示弹窗；warning类型时建议修改"
发布订单,AI预审功能,"2. 加载状态展示,P0,"
发布订单,AI预审功能,"3. AI预审结果弹窗（success/warning/info）,P0,"
发布订单,AI预审功能,"4. 预审结果文案展示,P0,"
发布订单,AI预审功能,"5. ""继续修改"" / ""确认发布""按钮,P0,"
发布订单,AI预审功能,"6. 后端接口：POST /api/orders/ai-review,P0,"
发布订单,确认发布,"1. ""确认发布""按钮,P0,点击按钮提交订单；提交成功后跳转工作台；订单状态为pending"
发布订单,确认发布,"2. 表单最终验证,P0,"
发布订单,确认发布,"3. 提交到后端,P0,"
发布订单,确认发布,"4. 订单状态变更为""审核中"",P0,"
发布订单,确认发布,"5. 跳转到广告主工作台,P0,"
发布订单,确认发布,"6. 后端接口：POST /api/orders,P0,"
发布订单,保存草稿,"1. ""保存草稿""按钮,P1,点击保存后存储草稿；下次打开时可恢复"
发布订单,保存草稿,"2. 本地存储或后端存储,P1,"
发布订单,保存草稿,"3. 下次打开时恢复草稿,P1,"
发布订单,保存草稿,"4. 草稿列表展示（可选）,P1,"
发布订单,保存草稿,"5. 后端接口：POST /api/orders/draft,P1,"
发布订单,表单验证,"1. 必填项验证,P0,所有必填项为空时提示；格式错误时提示；提交时全局验证并定位到第一个错误项"
发布订单,表单验证,"2. 格式验证,P0,"
发布订单,表单验证,"3. 长度验证,P0,"
发布订单,表单验证,"4. 逻辑验证（时间关系等）,P0,"
发布订单,表单验证,"5. 提交前全局验证,P0,"
发布订单,表单验证,"6. 错误提示定位,P0,"
发布订单,右侧预览,"1. 实时预览订单信息,P1,表单填写时预览实时更新；价格正确计算"
发布订单,右侧预览,"2. 参数卡片展示,P1,"
发布订单,右侧预览,"3. 价格预览,P1,"
发布订单,右侧预览,"4. 更新时同步刷新,P1,"
发布订单,发布订单埋点,"1. 表单填写进度埋点,P1,记录AI预审使用次数；记录发布失败原因"
发布订单,发布订单埋点,"2. AI预审使用埋点,P1,"
发布订单,发布订单埋点,"3. 发布成功/失败埋点,P1,"
发布订单,发布订单埋点,"4. 草稿保存埋点,P1,"
发布订单,网络异常处理,"1. 接口请求失败重试,P1,上传失败时显示""上传失败，请重试""；离开页面时提示""订单尚未发布，确定离开吗？"""
发布订单,网络异常处理,"2. 上传失败提示,P1,"
发布订单,网络异常处理,"3. 草稿自动保存,P1,"
发布订单,网络异常处理,"4. 离开页面提示,P1,"
广告主工作台,页面布局,"1. 左侧导航栏（任务/投标/创作者/消息/财务）,P0,左侧导航固定；Tab切换正确显示内容"
广告主工作台,页面布局,"2. 顶部用户信息区,P0,"
广告主工作台,页面布局,"3. 主内容区,P0,"
广告主工作台,页面布局,"4. Tab切换组件,P0,"
广告主工作台,页面布局,"5. 响应式布局,P0,"
广告主工作台,Tab导航,"1. 5个Tab：我的任务/投标管理/创作者管理/消息中心/财务管理,P0,点击Tab切换内容；徽章显示未读数量"
广告主工作台,Tab导航,"2. Tab图标+文案,P0,"
广告主工作台,Tab导航,"3. 选中状态样式,P0,"
广告主工作台,Tab导航,"4. 徽章提示（未读数量等）,P0,"
广告主工作台,Tab导航,"5. 切换动画,P0,"
广告主工作台,我的任务Tab,"1. 订单列表展示,P0,订单列表正确展示；状态筛选生效；操作按钮正确执行"
广告主工作台,我的任务Tab,"2. 订单状态筛选（全部/审核中/审核通过/审核驳回/进行中/已下架/已结束）,P0,"
广告主工作台,我的任务Tab,"3. 订单卡片组件,P0,"
广告主工作台,我的任务Tab,"4. 下架/编辑/删除操作,P0,"
广告主工作台,我的任务Tab,"5. 后端接口：GET /api/orders/my-orders,P0,"
广告主工作台,订单状态定义,"1. 审核中-紫色,P0,状态颜色正确；状态文案正确"
广告主工作台,订单状态定义,"2. 审核通过-绿色,P0,"
广告主工作台,订单状态定义,"3. 审核驳回-红色,P0,"
广告主工作台,订单状态定义,"4. 进行中-蓝色,P0,"
广告主工作台,订单状态定义,"5. 已下架-灰色,P0,"
广告主工作台,订单状态定义,"6. 已结束-灰色,P0,"
广告主工作台,订单状态定义,"7. Badge组件,P0,"
广告主工作台,订单操作,"1. 下架订单按钮,P0,下架订单后状态变为offline；编辑后跳转发布订单页；删除后从列表移除"
广告主工作台,订单操作,"2. 编辑订单（未审核通过前）,P0,"
广告主工作台,订单操作,"3. 删除订单（无投标时）,P0,"
广告主工作台,订单操作,"4. 确认弹窗,P0,"
广告主工作台,订单操作,"5. 后端接口：PUT /api/orders/:id/offline、DELETE /api/orders/:id,P0,"
广告主工作台,投标管理Tab,"1. 投标列表展示,P0,投标列表正确展示；状态筛选生效；审核操作正确执行"
广告主工作台,投标管理Tab,"2. 投标状态筛选（全部/待审核/预审已通过/待交付/已完成/已拒绝）,P0,"
广告主工作台,投标管理Tab,"3. 投标卡片组件,P0,"
广告主工作台,投标管理Tab,"4. 审核操作（确认通过/修改/订单冻结）,P0,"
广告主工作台,投标管理Tab,"5. 后端接口：GET /api/bids/my-bids,P0,"
广告主工作台,视频审核,"1. 查看创作者上传的3个视频,P0,视频正确加载播放；高清版仅在交付后可查看"
广告主工作台,视频审核,"2. 高光视频播放器,P0,"
广告主工作台,视频审核,"3. 水印版视频播放器,P0,"
广告主工作台,视频审核,"4. 高清完整版（交付后才可查看）,P0,"
广告主工作台,视频审核,"5. 全屏查看功能,P0,"
广告主工作台,视频审核,"6. 后端接口：GET /api/bids/:id/videos,P0,"
广告主工作台,审核操作,"1. ""确认通过""按钮,P0,确认通过后扣除尾款、生成授权书；修改后创作者可重新上传；订单冻结后状态变更"
广告主工作台,审核操作,"2. ""修改""按钮+修改意见输入（最多500字）,P0,"
广告主工作台,审核操作,"3. ""订单冻结""按钮+冻结原因输入,P0,"
广告主工作台,审核操作,"4. 确认弹窗,P0,"
广告主工作台,审核操作,"5. 余额检查,P0,"
广告主工作台,审核操作,"6. 后端接口：POST /api/bids/:id/approve、POST /api/bids/:id/request-change、POST /api/bids/:id/freeze,P0,"
广告主工作台,余额检查,"1. 确认通过前检查账户余额,P0,余额不足时提示""账户余额不足，请充值""；阻止确认通过操作"
广告主工作台,余额检查,"2. 余额不足提示,P0,"
广告主工作台,余额检查,"3. 充值引导（可选）,P0,"
广告主工作台,余额检查,"4. 后端接口：GET /api/users/balance,P0,"
广告主工作台,创作者管理Tab,"1. 合作过的创作者列表,P1,创作者列表正确展示；点击跳转创作者详情页"
广告主工作台,创作者管理Tab,"2. 创作者卡片组件,P1,"
广告主工作台,创作者管理Tab,"3. 查看创作者详情,P1,"
广告主工作台,创作者管理Tab,"4. 收藏/屏蔽操作,P1,"
广告主工作台,创作者管理Tab,"5. 后端接口：GET /api/creators/my-creators,P1,"
广告主工作台,消息中心Tab,"1. 消息列表,P1,消息列表正确展示；未读消息高亮；标记已读后状态更新"
广告主工作台,消息中心Tab,"2. 消息状态（已读/未读）,P1,"
广告主工作台,消息中心Tab,"3. 消息类型（系统通知/投标通知/审核通知）,P1,"
广告主工作台,消息中心Tab,"4. 标记已读/删除操作,P1,"
广告主工作台,消息中心Tab,"5. 后端接口：GET /api/messages,P1,"
广告主工作台,财务管理Tab,"1. 账户余额展示,P1,余额正确展示；交易记录按时间倒序；充值功能可用"
广告主工作台,财务管理Tab,"2. 交易记录列表,P1,"
广告主工作台,财务管理Tab,"3. 充值按钮,P1,"
广告主工作台,财务管理Tab,"4. 提现按钮（可选）,P1,"
广告主工作台,财务管理Tab,"5. 后端接口：GET /api/users/transactions,P1,"
广告主工作台,发布任务入口,"1. ""发布任务""按钮（突出显示）,P0,点击按钮跳转到发布订单页"
广告主工作台,发布任务入口,"2. 点击跳转/post-order,P0,"
广告主工作台,发布任务入口,"3. 引导文案,P0,"
广告主工作台,用户信息区,"1. 用户头像+名称,P0,用户信息正确展示；点击退出登录清除token"
广告主工作台,用户信息区,"2. 余额显示,P0,"
广告主工作台,用户信息区,"3. 设置入口,P0,"
广告主工作台,用户信息区,"4. 退出登录按钮,P0,"
广告主工作台,广告主工作台埋点,"1. Tab切换埋点,P1,记录Tab使用情况；记录审核操作类型"
广告主工作台,广告主工作台埋点,"2. 订单操作埋点（下架/编辑/删除）,P1,"
广告主工作台,广告主工作台埋点,"3. 投标审核埋点（通过/修改/冻结）,P1,"
广告主工作台,广告主工作台埋点,"4. 发布任务点击埋点,P1,"
广告主工作台,工作台异常处理,"1. 接口请求失败提示,P1,接口失败时显示toast；无任务时显示空状态图"
广告主工作台,工作台异常处理,"2. 操作失败提示,P1,"
广告主工作台,工作台异常处理,"3. 空状态展示,P1,"
广告主工作台,工作台异常处理,"4. 骨架屏loading,P1,"
创作者工作台,页面布局,"1. 左侧导航栏（任务/作品/消息/收入）,P0,左侧导航固定；Tab切换正确显示内容"
创作者工作台,页面布局,"2. 顶部用户信息区,P0,"
创作者工作台,页面布局,"3. 主内容区,P0,"
创作者工作台,页面布局,"4. Tab切换组件,P0,"
创作者工作台,页面布局,"5. 响应式布局,P0,"
创作者工作台,Tab导航,"1. 4个Tab：我的任务/作品集/消息中心/收入管理,P0,点击Tab切换内容；徽章显示未读数量"
创作者工作台,Tab导航,"2. Tab图标+文案,P0,"
创作者工作台,Tab导航,"3. 选中状态样式,P0,"
创作者工作台,Tab导航,"4. 徽章提示（未读数量等）,P0,"
创作者工作台,Tab导航,"5. 切换动画,P0,"
创作者工作台,我的任务Tab,"1. 任务列表展示,P0,任务列表正确展示；状态筛选生效；操作按钮正确执行"
创作者工作台,我的任务Tab,"2. 任务状态筛选（全部/待上传视频/待审核/待交付/已完成/审核未通过/订单冻结）,P0,"
创作者工作台,我的任务Tab,"3. 任务卡片组件,P0,"
创作者工作台,我的任务Tab,"4. 操作按钮,P0,"
创作者工作台,我的任务Tab,"5. 后端接口：GET /api/bids/my-bids,P0,"
创作者工作台,任务状态定义,"1. 待上传视频-灰色,P0,状态颜色正确；状态文案正确"
创作者工作台,任务状态定义,"2. 待审核-蓝色,P0,"
创作者工作台,任务状态定义,"3. 待交付-黄色,P0,"
创作者工作台,任务状态定义,"4. 已完成-绿色,P0,"
创作者工作台,任务状态定义,"5. 审核未通过-红色,P0,"
创作者工作台,任务状态定义,"6. 订单冻结-灰色,P0,"
创作者工作台,任务状态定义,"7. Badge组件,P0,"
创作者工作台,上传视频功能,"1. ""上传视频""按钮,P0,3个视频都必填；文件类型验证；上传进度显示；上传成功后状态变为""待审核"""
创作者工作台,上传视频功能,"2. 视频上传组件（3个视频）,P0,"
创作者工作台,上传视频功能,"3. 高光时刻（5-10秒）,P0,"
创作者工作台,上传视频功能,"4. 水印版视频（添加昵称水印）,P0,"
创作者工作台,上传视频功能,"5. 高清完整版（无水印）,P0,"
创作者工作台,上传视频功能,"6. 文件类型限制（MP4/MOV/AVI/MKV）,P0,"
创作者工作台,上传视频功能,"7. 文件大小限制,P0,"
创作者工作台,上传视频功能,"8. 上传进度显示,P0,"
创作者工作台,上传视频功能,"9. 后端接口：POST /api/bids/:id/videos,P0,"
