页面,功能点,功能描述,子任务/技术要点,优先级,验收标准
注册页,发送验证码,发送验证码到手机,"1. ""发送验证码""按钮<br>2. 点击后60秒倒计时<br>3. 倒计时期间按钮禁用<br>4. 后端接口：POST /api/auth/send-code",P0,点击后开始60秒倒计时；倒计时期间按钮不可点击
注册页,用户协议勾选,勾选同意用户协议和隐私政策,"1. Checkbox组件<br>2. 协议链接（可点击查看）<br>3. 必须勾选才能注册<br>4. 未勾选时点击注册提示",P0,未勾选时点击注册显示提示；勾选后可以注册
注册页,注册按钮,提交注册表单,"1. ""注册""按钮（全宽）<br>2. 按钮loading状态<br>3. 注册中禁用按钮<br>4. 后端接口：POST /api/auth/register",P0,点击后按钮显示loading；注册中不可重复点击；注册成功后自动登录
注册页,注册成功跳转,注册成功后的页面跳转,"1. 首次注册跳转到个人信息补充页（创作者）<br>2. 首次注册跳转到工作台引导页（广告主）<br>3. 存储token到localStorage",P0,创作者注册后跳转完善信息；广告主注册后跳转工作台
首页,Hero区域背景,全屏背景图展示,"1. 背景图片组件<br>2. 响应式适配（桌面端/移动端）<br>3. 图片懒加载<br>4. 渐变遮罩层",P0,背景图正确显示；不同屏幕尺寸自适应
首页,主标题,主标题展示和动画,"1. 主标题：""释放每一个创意的商业引力""<br>2. 渐变文字效果<br>3. fadeInUp动画<br>4. 响应式字号",P0,标题正确显示；有渐变效果；滚动到视口时触发动画
首页,副标题,副标题展示,"1. 副标题：""商业广告视频素材定制撮合服务平台""<br>2. 字体样式<br>3. fadeInUp动画（延迟）",P0,副标题正确显示；动画延迟触发
首页,搜索框,Hero区域搜索框,"1. 搜索输入框<br>2. placeholder: ""搜索任何素材要求""<br>3. 搜索图标<br>4. 回车触发搜索<br>5. 搜索按钮（可选）",P0,输入关键词后回车跳转到/orders?q=关键词；搜索按钮点击同样跳转
首页,热门标签,热门搜索标签展示,"1. 标签列表（Chips组件）<br>2. 热门关键词：爆款视频裂变、电商KOC种草、UGC优质原创、本地生活探店、小说短剧发行<br>3. 边框样式<br>4. 点击跳转搜索",P0,热门标签正确显示；点击后跳转到/orders?q=标签关键词
首页,平台信任背书,展示支持的平台,"1. 平台图标列表<br>2. 平台名称：抖音、小红书、快手、巨量广告、种草视频<br>3. 图标+文字组合<br>4. 水平排列",P0,平台图标和名称正确显示；水平排列整齐
首页,解决方案标题,限时0手续费标签,"1. 小标签/L徽章<br>2. 文案：""限时0手续费""<br>3. 突出颜色",P0,标签正确显示；颜色突出
首页,解决方案主标题,模块主标题,"1. 标题：""面向创作者/OPC的一站式内容变现平台""<br>2. 字体样式",P0,标题正确显示
首页,解决方案列表,创作者平台优势展示,"1. 4个优势点卡片<br>2. 每个包含：标题+说明<br>3. 图标/徽章<br>4. hover效果<br>5. 内容：<br>   - 过审内容获取保底收益<br>   - 首创盲盒审片机制<br>   - 首创双段确权交易<br>   - 灵活的接单模式",P0,4个优势点正确展示；hover时有交互效果；图标清晰
首页,广告主优势标题,广告主平台优势模块标题,"1. 标题：""瑞豆，为你增添无限火力""<br>2. 字体样式",P0,标题正确显示
首页,广告主优势列表,广告主平台优势展示,"1. 4个优势点展示<br>2. 每个包含：标题+描述<br>3. 左右布局（桌面端）<br>4. 上下布局（移动端）<br>5. 配图/图标<br>6. 内容：<br>   - 覆盖主流投放平台与行业<br>   - 海量风格样片极速对标<br>   - 极具竞争力的规模化价格<br>   - 标准化交付与品质质检",P0,4个优势点正确展示；桌面端左右布局；移动端上下堆叠
首页,CTA标题,最终行动号召标题,"1. 标题：""收入，触手可及 | 爆量，如此简单""<br>2. 字体样式<br>3. 居中对齐",P0,标题正确显示；居中对齐
首页,CTA按钮,""加入热力豆""按钮,"1. 按钮组件（大尺寸）<br>2. 文案：""加入热力豆""<br>3. 点击跳转/login<br>4. hover效果",P0,点击后跳转到登录页；hover有效果
首页,Navbar导航栏,顶部导航栏,"1. Logo展示<br>2. 导航菜单：首页、任务大厅、登录/工作台<br>3. 滚动时背景变色<br>4. 响应式菜单（移动端汉堡菜单）<br>5. 用户信息展示（已登录）<br>6. 未读消息徽章",P0,导航栏固定顶部；滚动后背景变化；移动端菜单可展开
首页,Footer页脚,页面底部信息,"1. 快捷链接（5个分类）<br>2. 公司信息：杭州快有量科技有限公司<br>3. 备案号、许可证等信息<br>4. 版权信息：© 2026 加热豆®<br>5. 社交媒体链接",P0,所有信息正确显示；链接可点击
首页,首页埋点,首页行为数据埋点,"1. 搜索行为埋点（关键词、时间）<br>2. 热门标签点击埋点<br>3. CTA按钮点击埋点<br>4. 页面停留时长",P1,记录用户搜索和点击行为
任务大厅,页面标题,顶部标题区,"1. 主标题：""任务大厅""<br>2. 副标题：""发现海量素材任务，找到适合您的创作机会""",P0,标题正确显示
任务大厅,平台Tabs,平台筛选Tab组件,"1. Tab列表：全部、抖音、快手、小红书、视频号、B站<br>2. Tab样式<br>3. 选中状态高亮<br>4. URL参数同步：?platform=xxx<br>5. 后端接口：GET /api/orders?platform=xxx",P0,点击Tab筛选对应平台订单；URL参数同步
任务大厅,服务选项筛选,视频类型筛选,"1. 下拉选择组件<br>2. 选项：不限、爆款复刻、原创内容<br>3. 选中状态<br>4. 后端接口联调",P0,下拉选项正确显示；选择后筛选订单
任务大厅,佣金范围筛选,价格区间筛选,"1. 下拉选择组件<br>2. 选项：不限、¥100以下、¥100-300、¥300-600、¥600以上<br>3. 选中状态<br>4. 后端接口联调",P0,下拉选项正确显示；选择后筛选订单
任务大厅,交付时间筛选,任务时效筛选,"1. 下拉选择组件<br>2. 选项：不限、普通（72小时）、加急（48小时）、特急（24小时）<br>3. 选中状态<br>4. 后端接口联调",P0,下拉选项正确显示；选择后筛选订单
任务大厅,搜索框,任务关键词搜索,"1. 搜索输入框<br>2. placeholder: ""搜索任务关键词""<br>3. 回车触发搜索<br>4. 搜索按钮<br>5. 从首页跳转时自动填充<br>6. 后端接口：GET /api/orders?q=xxx",P0,输入关键词搜索；回车或点击按钮触发；从首页跳转时自动填充
任务大厅,排序方式,订单排序功能,"1. 下拉选择组件<br>2. 选项：成交最多、佣金从低到高、佣金从高到低、最新上架<br>3. 默认：成交最多<br>4. 后端接口：GET /api/orders?sort=xxx",P0,下拉选项正确显示；切换排序后列表按新规则展示
任务大厅,结果数量,显示搜索结果数量,"1. 文案：""共X条结果""<br>2. 动态更新<br>3. 空数据时显示""暂无任务""",P0,筛选/搜索后数量正确更新
任务大厅,任务卡片,订单卡片组件,"1. 服务标题（最多2行，超出省略）<br>2. 平台标签Badge（彩色）<br>3. 广告主头像Avatar<br>4. 评分星星展示<br>5. 佣金价格（高亮显示）<br>6. 时效标签（加急红点）<br>7. ""立即查看""按钮<br>8. 点击跳转订单详情<br>9. 后端接口数据联调",P0,卡片信息完整展示；点击跳转详情页
任务大厅,任务卡片网格,卡片网格布局,"1. 4列网格（桌面端）<br>2. 3列（小屏幕）<br>3. 2列（平板）<br>4. 1列（手机）<br>5. 间距设置",P0,响应式网格布局；不同屏幕正确显示列数
任务大厅,分页器,分页组件,"1. 上一页/下一页按钮<br>2. 页码展示<br>3. 当前页高亮<br>4. 超过范围时禁用按钮<br>5. 后端接口：GET /api/orders?page=1&limit=20",P0,分页切换正常；页码正确更新；超过范围时禁用
任务大厅,空状态,无任务时展示,"1. 空状态插图<br>2. 提示文案：""暂无任务""<br>3. ""去发布任务""按钮（广告主）<br>4. ""浏览其他分类""按钮",P0,无任务时显示空状态图；广告主可点击跳转发布页
任务大厅,筛选重置,重置所有筛选条件,"1. ""重置""按钮<br>2. 清空所有筛选条件<br>3. 恢复默认状态",P0,点击后清空所有筛选；恢复默认排序和全部数据
任务大厅,骨架屏Loading,加载时展示骨架屏,"1. 任务卡片骨架屏<br>2. 多个卡片占位<br>3. 动画效果",P1,数据加载时显示骨架屏；加载完成后显示真实数据
任务大厅,任务大厅埋点,用户行为埋点,"1. 筛选条件使用埋点<br>2. 排序方式使用埋点<br>3. 搜索关键词埋点<br>4. 任务卡片点击埋点<br>5. 分页行为埋点",P1,记录用户筛选、搜索、点击行为
订单详情,面包屑导航,页面导航路径,"1. 首页 → 任务大厅 → 订单标题<br>2. 首页可点击（跳转/）<br>3. 任务大厅可点击（跳转/orders）<br>4. 订单标题不可点击<br>5. 移动端省略显示",P0,面包屑正确显示；点击正确跳转
订单详情,订单标题,订单标题展示,"1. 订单标题（大字号）<br>2. 字体样式",P0,标题正确显示
订单详情,评分信息,广告主评分展示,"1. 评分：4.9（星星图标）<br>2. 评价数量：（128条评价）",P0,评分和评价数正确显示
订单详情,投稿统计,投稿和验收统计,"1. 已收到投稿数徽章<br>2. 已验收数徽章<br>3. 文案：""已投稿180单，已验收X/Y单""",P0,投稿和验收数量正确显示
订单详情,广告主信息,广告主信息卡片,"1. 广告主头像（圆形）<br>2. 广告主名称（可点击）<br>3. 验收通过率：订单完结数/收到投稿数<br>4. 平均验收时间：3小时<br>5. 点击跳转创作者详情<br>6. 后端接口数据联调",P0,广告主信息完整展示；点击跳转详情页
订单详情,封面图,订单主视觉,"1. 封面图片展示<br>2. 轮播图（多张）<br>3. 视频预览（可选）<br>4. ""起量素材""等角标<br>5. 图片懒加载",P0,封面图正确显示；支持轮播；角标突出显示
订单详情,任务名称,当前任务信息,"1. 区块标题：""当前任务""<br>2. 任务名称展示",P0,任务名称正确显示
订单详情,佣金价格,价格信息展示,"1. 佣金总价：¥XXX（大字号高亮）<br>2. 第一次验收预估：¥XXX（30%）<br>3. 第二次验收预估：¥XXX（70%）",P0,价格正确计算和显示；第一次30%、第二次70%
订单详情,简要描述,任务简短描述,"1. 描述文本（100字左右）<br>2. 字体样式",P0,描述正确显示
订单详情,素材条数,素材数量展示,"1. 文案：""4条15s竖版信息流视频""<br>2. 字体样式",P0,素材条数正确显示
订单详情,出片时间,任务时效,"1. 文案：""72小时""或""48小时""或""24小时""<br>2. 加急标记（24h显示特急）",P0,时效正确显示；加急标记突出
订单详情,AI创作,AI接受情况,"1. 文案：""接受AI创作""或""不接受AI创作""<br>2. 图标标识",P0,AI接受情况正确显示
订单详情,场景要求,场景要求说明,"1. 场景：不限/实景/外景/特殊<br>2. 自定义输入展示",P0,场景要求正确显示
订单详情,视频风格,视频风格说明,"1. 风格：不限/正式/幽默/特殊<br>2. 自定义输入展示",P0,视频风格正确显示
订单详情,配音要求,配音要求说明,"1. 配音：不限/普通话/方言<br>2. 方言详情展示",P0,配音要求正确显示
订单详情,任务时间,任务起止时间,"1. 开始时间：YYYY-MM-DD HH:mm<br>2. 结束时间：YYYY-MM-DD HH:mm<br>3. 剩余时间倒计时（可选）",P0,任务时间正确显示；格式化显示
订单详情,服务详情,任务详细描述,"1. 区块标题：""服务详情""<br>2. 富文本内容<br>3. 任务其他说明<br>4. 制作流程、协同方式等",P0,详细描述正确展示；富文本正常渲染
订单详情,""立即抢单""按钮,创作者接单按钮,"1. 按钮组件（大尺寸，固定底部/右侧）<br>2. 文案：""立即抢单""<br>3. 未登录点击跳转/login<br>4. 已登录点击弹出确认弹窗<br>5. 后端接口：POST /api/bids",P0,未登录跳转登录；已登录弹出确认弹窗
订单详情,接单确认弹窗,确认接单弹窗,"1. Dialog组件<br>2. 确认文案：""确认接单吗？""<br>3. 提示：""每位创作者只能同时进行接单3个任务""<br>4. 取消/确认按钮<br>5. 确认后创建投标记录",P0,弹窗正确显示；确认后提交投标
订单详情,接单前置校验,接单前检查条件,"1. 个人信息完善检查<br>2. 接单数量限制检查（<3个）<br>3. 订单状态检查（approved）<br>4. 拒绝记录检查<br>5. 任务过期检查<br>6. 各种错误提示：<br>   - ""请先完善个人信息""<br>   - ""最多同时接单3个任务""<br>   - ""您曾对该订单投标被拒绝，无法再次接单""<br>   - ""该订单已过期""<br>7. 后端接口：GET /api/bids/check-eligible",P0,前置条件全部检查；错误提示准确显示
订单详情,加载状态,页面加载骨架屏,"1. 骨架屏组件<br>2. 主要区块占位<br>3. 动画效果",P1,数据加载时显示骨架屏
订单详情,错误状态,加载失败处理,"1. 错误提示<br>2. 重试按钮<br>3. 404状态（订单不存在）",P1,加载失败时显示错误和重试按钮
订单详情,订单详情埋点,用户行为埋点,"1. 页面访问埋点（订单ID）<br>2. ""立即抢单""点击埋点<br>3. 接单成功/失败埋点<br>4. 前置校验失败埋点",P1,记录订单访问和接单行为
发布订单,页面布局,全屏发布页面布局,"1. 无Navbar和Footer<br>2. 左侧表单区<br>3. 右侧预览区（桌面端）<br>4. 响应式布局（移动端上下堆叠）",P0,全屏展示；桌面端左右布局
发布订单,进度指示器,表单步骤进度,"1. 进度条组件<br>2. 步骤：基本信息、详细描述、任务参数、任务时间<br>3. 当前步骤高亮<br>4. 已完成步骤标记<br>5. 点击步骤跳转（可选）",P0,进度条正确显示；步骤高亮
发布订单,任务标题输入,输入任务标题,"1. 输入框组件<br>2. placeholder: ""请输入任务标题""<br>3. 最少5个字符验证<br>4. 最多100个字符<br>5. 字数统计<br>6. 实时验证",P0,输入框正常；少于5字符时提示错误；字数统计实时显示
发布订单,视频类型选择,选择视频类型,"1. 单选组件<br>2. 选项：爆款复刻、原创内容<br>3. 选中状态",P0,单选功能正常；选中状态高亮
发布订单,佣金价格输入,输入任务佣金,"1. 数字输入框<br>2. placeholder: ""请输入佣金价格""<br>3. 正整数验证<br>4. 大于0验证<br>5. 单位：元",P0,只能输入正整数；小于等于0时提示错误
发布订单,基础要求,任务基础要求输入,"1. Textarea组件<br>2. placeholder: ""请输入基础要求（选填）""<br>3. 最多2000字<br>4. 字数统计<br>5. 实时验证",P0,输入框正常；超过2000字时提示；字数统计实时显示
发布订单,硬性要求,任务硬性要求输入,"1. Textarea组件<br>2. placeholder: ""请输入硬性要求（必填）""<br>3. 最多2000字<br>4. 必填验证<br>5. 字数统计",P0,输入框正常；为空时提示；字数统计实时显示
发布订单,非硬性要求,非硬性要求输入,"1. Textarea组件<br>2. placeholder: ""请输入非硬性要求（选填）""<br>3. 最多2000字<br>4. 字数统计",P0,输入框正常；字数统计实时显示
发布订单,补充说明,任务补充说明输入,"1. Textarea组件<br>2. placeholder: ""请输入补充说明（选填）""<br>3. 最多2000字<br>4. 字数统计",P0,输入框正常；字数统计实时显示
发布订单,素材条数,输入素材条数,"1. 数字输入框<br>2. placeholder: ""请输入素材条数""<br>3. 正整数验证<br>4. 大于0验证",P0,只能输入正整数；小于等于0时提示错误
发布订单,接受AI创作,选择是否接受AI,"1. 单选组件<br>2. 选项：接受、不接受<br>3. 默认：不接受<br>4. 选中状态",P0,单选功能正常；默认值正确
发布订单,场景要求,输入场景要求,"1. 输入框组件<br>2. placeholder: ""不限、实景、外景或特殊场景（20字以内）""<br>3. 最多20字<br>4. 字数统计",P0,输入框正常；超过20字时提示
发布订单,视频风格,输入视频风格,"1. 输入框组件<br>2. placeholder: ""不限、正式、幽默或特殊风格（20字以内）""<br>3. 最多20字<br>4. 字数统计",P0,输入框正常；超过20字时提示
发布订单,配音要求,选择配音要求,"1. 下拉选择组件<br>2. 选项：不限、普通话、各地方言<br>3. 选中状态",P0,下拉选择正常；选中状态高亮
发布订单,投放平台,选择投放平台,"1. 下拉选择组件<br>2. 选项：抖音、快手、小红书、腾讯广告、其他<br>3. 必填验证<br>4. 选中状态",P0,下拉选择正常；为空时提示错误
发布订单,分辨率选择,选择视频分辨率,"1. 单选组件<br>2. 选项：9:16、4:3、1:1<br>3. 默认：9:16<br>4. 选中状态",P0,单选功能正常；默认值正确
发布订单,任务时效,选择任务时效,"1. 单选组件<br>2. 选项：72小时、48小时、24小时<br>3. 默认：72小时<br>4. 选中状态<br>5. 加急标识（24h/48h）",P0,单选功能正常；默认值正确
发布订单,开始时间,选择任务开始时间,"1. DateTimePicker组件<br>2. placeholder: ""请选择开始时间""<br>3. 必须晚于当前时间<br>4. 日期格式：YYYY-MM-DD HH:mm",P0,时间选择正常；早于当前时间时提示
发布订单,结束时间,选择任务结束时间,"1. DateTimePicker组件<br>2. placeholder: ""请选择结束时间""<br>3. 必须晚于开始时间<br>4. 至少间隔24小时<br>5. 日期格式：YYYY-MM-DD HH:mm",P0,时间选择正常；早于开始时间时提示；间隔不足24小时时提示
发布订单,参考图上传,上传参考图/视频,"1. 文件上传组件<br>2. 支持图片和视频<br>3. 最多4个文件<br>4. 文件大小限制<br>5. 上传进度显示<br>6. 预览缩略图<br>7. 删除功能<br>8. 后端接口：POST /api/upload",P0,上传功能正常；最多4个；显示进度；可删除
发布订单,AI预审按钮,AI预审功能,"1. ""AI预审""按钮<br>2. 点击后显示loading<br>3. 后端接口：POST /api/orders/ai-review<br>4. 等待AI返回结果",P0,点击后loading；AI返回结果后展示弹窗
发布订单,AI预审结果弹窗,显示AI预审结果,"1. Dialog组件<br>2. 结果类型：success/warning/info<br>3. 结果内容展示<br>4. ""继续修改""按钮<br>5. ""确认发布""按钮<br>6. 点击后关闭弹窗",P0,弹窗正确显示；按钮功能正常
发布订单,右侧预览,实时预览订单信息,"1. 任务标题预览<br>2. 价格预览（第一次30%、第二次70%）<br>3. 参数预览<br>4. 实时更新",P1,表单填写时预览实时更新；价格正确计算
发布订单,保存草稿,保存订单草稿,"1. ""保存草稿""按钮<br>2. 本地存储或后端存储<br>3. 下次打开时恢复<br>4. 后端接口：POST /api/orders/draft",P1,点击保存；下次打开可恢复
发布订单,确认发布,提交订单发布,"1. ""确认发布""按钮<br>2. 表单最终验证<br>3. 提交到后端<br>4. 订单状态变更为""审核中""<br>5. 跳转到广告主工作台<br>6. 后端接口：POST /api/orders",P0,点击提交；验证通过后提交；成功后跳转工作台
发布订单,表单验证,表单字段验证,"1. 必填项验证<br>2. 格式验证<br>3. 长度验证<br>4. 逻辑验证（时间关系）<br>5. 提交前全局验证<br>6. 错误提示定位",P0,所有验证正常；提交时全局验证；错误定位准确
发布订单,离开确认,离开页面确认,"1. 未保存时离开提示<br>2. ""订单尚未发布，确定离开吗？""<br>3. 确定/取消按钮",P1,有未保存内容时离开弹出确认
发布订单,发布订单埋点,用户行为埋点,"1. 表单填写进度埋点<br>2. AI预审使用埋点<br>3. 发布成功/失败埋点<br>4. 草稿保存埋点",P1,记录填写和发布行为
广告主工作台,页面布局,工作台布局结构,"1. 左侧导航栏<br>2. 顶部用户信息区<br>3. 主内容区<br>4. 响应式布局",P0,布局清晰；响应式适配
广告主工作台,用户信息区,顶部用户信息,"1. 用户头像<br>2. 用户名称<br>3. 账户余额<br>4. 设置入口<br>5. 退出登录按钮<br>6. 后端接口：GET /api/users/me",P0,用户信息正确显示；余额准确；退出登录功能正常
广告主工作台,导航菜单,左侧Tab导航,"1. 5个Tab：我的任务、投标管理、创作者管理、消息中心、财务管理<br>2. Tab图标+文案<br>3. 选中状态高亮<br>4. 徽章提示（未读数量）<br>5. 切换动画",P0,Tab切换正常；徽章显示未读数；选中状态高亮
广告主工作台,发布任务入口,快捷发布按钮,"1. ""发布任务""按钮（突出显示）<br>2. 点击跳转/post-order",P0,按钮突出显示；点击跳转发布页
广告主工作台,我的任务Tab,任务管理Tab,"1. 订单列表展示<br>2. 订单卡片组件<br>3. 后端接口：GET /api/orders/my-orders",P0,订单列表正确展示
广告主工作台,订单状态筛选,任务状态筛选,"1. 筛选条件：全部、审核中、审核通过、审核驳回、进行中、已下架、已结束<br>2. Tab或下拉筛选<br>3. 选中状态",P0,筛选功能正常；选中状态高亮
广告主工作台,订单状态标签,订单状态Badge,"1. 审核中-紫色<br>2. 审核通过-绿色<br>3. 审核驳回-红色<br>4. 进行中-蓝色<br>5. 已下架-灰色<br>6. 已结束-灰色",P0,状态颜色正确；文案准确
广告主工作台,订单操作,订单操作按钮,"1. 下架订单按钮<br>2. 编辑订单按钮（未审核通过）<br>3. 删除订单按钮（无投标时）<br>4. 确认弹窗<br>5. 后端接口：PUT /api/orders/:id/offline、DELETE /api/orders/:id",P0,操作功能正常；确认弹窗显示
广告主工作台,投标管理Tab,投标管理Tab,"1. 投标列表展示<br>2. 投标卡片组件<br>3. 后端接口：GET /api/bids/my-bids",P0,投标列表正确展示
广告主工作台,投标状态筛选,投标状态筛选,"1. 筛选条件：全部、待审核、预审已通过、待交付、已完成、已拒绝<br>2. Tab或下拉筛选<br>3. 选中状态",P0,筛选功能正常；选中状态高亮
广告主工作台,查看视频,查看创作者上传的视频,"1. 3个视频：高光时刻、水印版、高清完整版<br>2. 视频播放器<br>3. 全屏查看<br>4. 后端接口：GET /api/bids/:id/videos",P0,视频正确加载播放；全屏功能正常
广告主工作台,确认通过,审核通过投标,"1. ""确认通过""按钮<br>2. 余额检查（后端）<br>3. 扣除尾款<br>4. 生成授权书<br>5. 开放无水印视频下载<br>6. 确认弹窗<br>7. 后端接口：POST /api/bids/:id/approve",P0,点击后扣除尾款；生成授权书；余额不足时提示
广告主工作台,请求修改,要求创作者修改,"1. ""修改""按钮<br>2. 修改意见输入框（最多500字）<br>3. 字数统计<br>4. 确认弹窗<br>5. 后端接口：POST /api/bids/:id/request-change",P0,修改意见输入正常；字数限制；提交成功后状态更新
广告主工作台,订单冻结,冻结订单处理纠纷,"1. ""订单冻结""按钮<br>2. 冻结原因输入框（必填）<br>3. 确认弹窗<br>4. 后端接口：POST /api/bids/:id/freeze",P0,冻结原因必填；提交成功后状态更新
广告主工作台,查看创作者,查看创作者详情,"1. ""查看创作者""链接/按钮<br>2. 跳转到创作者详情页<br>3. 参数传递",P0,点击跳转创作者详情页
广告主工作台,创作者管理Tab,合作创作者管理,"1. 创作者列表展示<br>2. 创作者卡片组件<br>3. 收藏/屏蔽操作<br>4. 后端接口：GET /api/creators/my-creators",P1,创作者列表正确展示；收藏/屏蔽功能正常
广告主工作台,消息中心Tab,消息管理Tab,"1. 消息列表展示<br>2. 消息状态（已读/未读）<br>3. 消息类型图标<br>4. 标记已读/删除<br>5. 后端接口：GET /api/messages",P1,消息列表正确展示；标记已读功能正常
广告主工作台,财务管理Tab,财务管理Tab,"1. 账户余额展示<br>2. 交易记录列表<br>3. 充值按钮<br>4. 提现按钮<br>5. 后端接口：GET /api/users/transactions",P1,余额正确显示；交易记录完整；充值功能可用
广告主工作台,广告主工作台埋点,用户行为埋点,"1. Tab切换埋点<br>2. 订单操作埋点<br>3. 投标审核埋点<br>4. 发布任务点击埋点",P1,记录操作行为
创作者工作台,页面布局,工作台布局结构,"1. 左侧导航栏<br>2. 顶部用户信息区<br>3. 主内容区<br>4. 响应式布局",P0,布局清晰；响应式适配
创作者工作台,用户信息区,顶部用户信息,"1. 用户头像<br>2. 用户名称<br>3. 等级徽章（青铜/白银/黄金/铂金）<br>4. 完成订单数<br>5. 评分<br>6. 设置入口<br>7. 退出登录按钮<br>8. 后端接口：GET /api/users/me、GET /api/creators/level",P0,用户信息正确显示；等级徽章根据订单数显示
创作者工作台,导航菜单,左侧Tab导航,"1. 4个Tab：我的任务、作品集、消息中心、收入管理<br>2. Tab图标+文案<br>3. 选中状态高亮<br>4. 徽章提示（未读数量）<br>5. 切换动画",P0,Tab切换正常；徽章显示未读数；选中状态高亮
创作者工作台,我的任务Tab,任务管理Tab,"1. 任务列表展示<br>2. 任务卡片组件<br>3. 后端接口：GET /api/bids/my-bids",P0,任务列表正确展示
创作者工作台,任务状态筛选,任务状态筛选,"1. 筛选条件：全部、待上传视频、待审核、待交付、已完成、审核未通过、订单冻结<br>2. Tab或下拉筛选<br>3. 选中状态",P0,筛选功能正常；选中状态高亮
创作者工作台,任务状态标签,任务状态Badge,"1. 待上传视频-灰色<br>2. 待审核-蓝色<br>3. 待交付-黄色<br>4. 已完成-绿色<br>5. 审核未通过-红色<br>6. 订单冻结-灰色",P0,状态颜色正确；文案准确
创作者工作台,上传视频,上传3个视频,"1. ""上传视频""按钮<br>2. 3个视频上传区：高光时刻（5-10秒）、水印版、高清完整版<br>3. 文件类型限制（MP4/MOV/AVI/MKV）<br>4. 文件大小限制<br>5. 上传进度显示<br>6. 视频预览<br>7. 后端接口：POST /api/bids/:id/videos",P0,3个视频都必填；文件类型验证；上传进度显示
创作者工作台,视频时长校验,高光视频时长验证,"1. 高光视频时长验证（5-10秒）<br>2. 不符合时提示：""高光视频时长应为5-10秒""<br>3. 后端或前端验证",P0,时长不符时提示错误；阻止提交
创作者工作台,重新上传,重新上传视频,"1. ""重新上传""按钮（待交付/审核未通过状态）<br>2. 覆盖已上传视频<br>3. 确认弹窗<br>4. 后端接口：PUT /api/bids/:id/videos",P0,重新上传功能正常；覆盖后视频更新
创作者工作台,查看修改意见,查看广告主修改意见,"1. 修改意见展示<br>2. 修改时间戳<br>3. 已读/未读状态<br>4. 后端接口：GET /api/bids/:id/feedback",P0,修改意见正确显示；未读时高亮
创作者工作台,作品集Tab,作品集管理Tab,"1. 作品列表展示<br>2. 作品卡片组件<br>3. 上传作品按钮<br>4. 后端接口：GET /api/works/my-works",P1,作品列表正确展示；上传按钮可用
创作者工作台,上传作品,上传作品到作品集,"1. 上传作品弹窗/页面<br>2. 视频上传<br>3. 作品标题输入<br>4. 作品描述输入<br>5. 作品标签<br>6. 后端接口：POST /api/works",P1,上传功能正常；作品信息完整
